,Date,LCOc1,NGc1
0,1991-04-02,17.99,1.42
1,1991-04-03,18.11,1.417
2,1991-04-04,18.73,1.403
3,1991-04-05,18.61,1.4
4,1991-04-08,18.81,1.395
5,1991-04-09,18.81,1.391
6,1991-04-10,19.41,1.376
7,1991-04-11,19.55,1.375
8,1991-04-12,20.02,1.376
9,1991-04-15,20.17,1.382
10,1991-04-16,19.44,1.376
11,1991-04-17,19.52,1.378
12,1991-04-18,19.02,1.375
13,1991-04-19,19.14,1.355
14,1991-04-22,19.48,1.35
15,1991-04-23,19.32,1.39
16,1991-04-24,19.33,1.38
17,1991-04-25,19.54,1.379
18,1991-04-26,19.61,1.367
19,1991-04-29,19.61,1.374
20,1991-04-30,19.42,1.375
21,1991-05-01,19.57,1.376
22,1991-05-02,19.45,1.366
23,1991-05-03,19.66,1.356
24,1991-05-07,19.99,1.353
25,1991-05-08,20.14,1.347
26,1991-05-09,20.14,1.352
27,1991-05-10,19.6,1.35
28,1991-05-13,19.29,1.349
29,1991-05-14,19.06,1.349
30,1991-05-15,19.15,1.35
31,1991-05-16,19.06,1.345
32,1991-05-17,19.58,1.343
33,1991-05-20,19.57,1.332
34,1991-05-21,19.33,1.33
35,1991-05-22,19.13,1.336
36,1991-05-23,19.2,1.33
37,1991-05-24,19.35,1.335
38,1991-05-28,19.43,1.331
39,1991-05-29,19.16,1.344
40,1991-05-30,19.31,1.338
41,1991-05-31,19.21,1.333
42,1991-06-03,19.23,1.333
43,1991-06-04,19.12,1.329
44,1991-06-05,18.65,1.315
45,1991-06-06,18.49,1.297
46,1991-06-07,18.5,1.283
47,1991-06-10,18.04,1.287
48,1991-06-11,18.07,1.28
49,1991-06-12,17.99,1.271
50,1991-06-13,17.96,1.293
51,1991-06-14,18.14,1.293
52,1991-06-17,18.21,1.262
53,1991-06-18,18.21,1.245
54,1991-06-19,18.18,1.215
55,1991-06-20,18.44,1.167
56,1991-06-21,18.54,1.195
57,1991-06-24,18.26,1.118
58,1991-06-25,18.25,1.123
59,1991-06-26,18.33,1.142
60,1991-06-27,18.56,1.182
61,1991-06-28,18.72,1.208
62,1991-07-01,18.81,1.19
63,1991-07-02,18.84,1.171
64,1991-07-03,18.67,1.191
65,1991-07-05,18.92,1.183
66,1991-07-08,19.23,1.198
67,1991-07-09,19.25,1.18
68,1991-07-10,19.43,1.16
69,1991-07-11,19.25,1.157
70,1991-07-12,19.74,1.165
71,1991-07-15,19.53,1.169
72,1991-07-16,19.75,1.205
73,1991-07-17,20.21,1.235
74,1991-07-18,19.89,1.25
75,1991-07-19,20.21,1.247
76,1991-07-22,19.98,1.22
77,1991-07-23,19.5,1.195
78,1991-07-24,19.69,1.216
79,1991-07-25,19.55,1.245
80,1991-07-26,19.62,1.238
81,1991-07-29,19.57,1.225
82,1991-07-30,19.53,1.238
83,1991-07-31,19.74,1.26
84,1991-08-01,19.4,1.255
85,1991-08-02,19.5,1.26
86,1991-08-05,19.53,1.275
87,1991-08-06,19.43,1.286
88,1991-08-07,19.43,1.294
89,1991-08-08,19.62,1.293
90,1991-08-09,19.6,1.288
91,1991-08-12,19.62,1.289
92,1991-08-13,19.5,1.287
93,1991-08-14,19.27,1.283
94,1991-08-15,19.31,1.288
95,1991-08-16,19.48,1.278
96,1991-08-19,20.53,1.294
97,1991-08-20,20.65,1.293
98,1991-08-21,19.64,1.312
99,1991-08-22,19.79,1.42
100,1991-08-23,19.98,1.522
101,1991-08-27,20.11,1.576
102,1991-08-28,20.03,1.578
103,1991-08-29,20.32,1.571
104,1991-08-30,20.7,1.564
105,1991-09-03,20.58,1.556
106,1991-09-04,20.25,1.568
107,1991-09-05,20.13,1.593
108,1991-09-06,20.07,1.617
109,1991-09-09,19.84,1.629
110,1991-09-10,19.95,1.683
111,1991-09-11,20.16,1.629
112,1991-09-12,20.14,1.596
113,1991-09-13,20.32,1.59
114,1991-09-16,20.42,1.595
115,1991-09-17,20.23,1.598
116,1991-09-18,20.41,1.61
117,1991-09-19,20.27,1.67
118,1991-09-20,20.44,1.742
119,1991-09-23,20.62,1.919
120,1991-09-24,20.75,1.889
121,1991-09-25,20.73,1.899
122,1991-09-26,20.88,1.918
123,1991-09-27,21.17,1.92
124,1991-09-30,21.05,1.935
125,1991-10-01,20.99,1.907
126,1991-10-02,21.15,1.894
127,1991-10-03,21.56,1.891
128,1991-10-04,21.44,1.904
129,1991-10-07,21.68,1.913
130,1991-10-08,21.74,1.943
131,1991-10-09,22.1,1.97
132,1991-10-10,21.85,1.958
133,1991-10-11,22.04,1.955
134,1991-10-14,22.42,1.982
135,1991-10-15,22.81,1.986
136,1991-10-16,22.17,2.001
137,1991-10-17,22.42,2.014
138,1991-10-18,22.59,2.025
139,1991-10-21,22.67,2.013
140,1991-10-22,22.42,1.91
141,1991-10-23,21.97,1.889
142,1991-10-24,22.1,2.069
143,1991-10-25,21.79,2.081
144,1991-10-28,21.79,2.106
145,1991-10-29,21.72,2.092
146,1991-10-30,21.76,2.065
147,1991-10-31,22.1,2.046
148,1991-11-01,22.51,2.083
149,1991-11-04,22.38,2.12
150,1991-11-05,22.41,2.071
151,1991-11-06,22.05,2.063
152,1991-11-07,21.97,2.082
153,1991-11-08,21.84,2.082
154,1991-11-11,21.48,2.07
155,1991-11-12,21.27,2.055
156,1991-11-13,21.28,2.04
157,1991-11-14,21.03,2.0
158,1991-11-15,21.59,2.04
159,1991-11-18,21.16,2.001
160,1991-11-19,20.85,1.91
161,1991-11-20,20.71,1.987
162,1991-11-21,20.54,2.089
163,1991-11-22,19.96,2.086
164,1991-11-25,20.05,2.078
165,1991-11-26,19.63,2.066
166,1991-11-27,19.97,2.105
167,1991-11-29,20.13,2.09
168,1991-12-02,19.73,2.1
169,1991-12-03,19.22,2.102
170,1991-12-04,19.39,2.083
171,1991-12-05,19.13,2.024
172,1991-12-06,18.88,1.979
173,1991-12-09,18.01,1.939
174,1991-12-10,18.16,1.93
175,1991-12-11,18.23,1.851
176,1991-12-12,18.58,1.873
177,1991-12-13,18.81,1.836
178,1991-12-16,18.58,1.834
179,1991-12-17,18.06,1.825
180,1991-12-18,18.02,1.765
181,1991-12-19,17.89,1.708
182,1991-12-20,17.4,1.453
183,1991-12-23,17.65,1.397
184,1991-12-24,17.83,1.4
185,1991-12-27,17.68,1.378
186,1991-12-30,17.72,1.38
187,1991-12-31,17.61,1.343
188,1992-01-02,18.36,1.305
189,1992-01-03,18.12,1.299
190,1992-01-06,18.12,1.278
191,1992-01-07,17.69,1.304
192,1992-01-08,16.92,1.29
193,1992-01-09,16.86,1.259
194,1992-01-10,17.24,1.206
195,1992-01-13,17.95,1.234
196,1992-01-14,17.89,1.247
197,1992-01-15,18.31,1.294
198,1992-01-16,18.54,1.35
199,1992-01-17,18.32,1.246
200,1992-01-20,18.01,1.227
201,1992-01-21,17.75,1.228
202,1992-01-22,18.05,1.149
203,1992-01-23,17.86,1.075
204,1992-01-24,18.22,1.168
205,1992-01-27,18.44,1.218
206,1992-01-28,18.24,1.181
207,1992-01-29,18.09,1.18
208,1992-01-30,18.14,1.166
209,1992-01-31,18.15,1.18
210,1992-02-03,18.16,1.176
211,1992-02-04,18.3,1.198
212,1992-02-05,18.3,1.189
213,1992-02-06,18.41,1.183
214,1992-02-07,18.86,1.19
215,1992-02-10,18.79,1.196
216,1992-02-11,18.38,1.13
217,1992-02-12,18.26,1.136
218,1992-02-13,18.5,1.115
219,1992-02-18,17.6,1.081
220,1992-02-19,17.74,1.139
221,1992-02-20,17.84,1.145
222,1992-02-21,17.71,1.249
223,1992-02-24,17.43,1.175
224,1992-02-25,17.47,1.18
225,1992-02-26,17.35,1.18
226,1992-02-27,17.64,1.156
227,1992-02-28,17.55,1.171
228,1992-03-02,17.22,1.167
